
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    54.254.96.20:53828     74.125.68.188:5228     TIME_WAIT       0
  TCP    54.254.96.20:53846     124.155.222.168:80     TIME_WAIT       0
  TCP    54.254.96.20:54027     124.155.222.163:80     CLOSING         1292
  TCP    54.254.96.20:54028     74.125.68.104:443      ESTABLISHED     4252
  TCP    54.254.96.20:54029     74.125.200.188:443     ESTABLISHED     4252
  TCP    54.254.96.20:54030     74.125.200.188:443     ESTABLISHED     4252
  TCP    54.254.96.20:54031     52.20.47.19:443        ESTABLISHED     2928
  TCP    54.254.96.20:54032     74.125.68.113:443      ESTABLISHED     4252
  TCP    54.254.96.20:54033     74.125.68.113:443      ESTABLISHED     4252
  TCP    54.254.96.20:54034     115.239.211.92:80      SYN_SENT        4252
  TCP    54.254.96.20:54035     115.239.210.141:80     SYN_SENT        4252
  TCP    54.254.96.20:54036     115.239.210.141:80     SYN_SENT        4252
  TCP    54.254.96.20:54037     115.239.211.92:80      SYN_SENT        4252
  TCP    54.254.96.20:54038     115.239.210.141:80     SYN_SENT        4252
  TCP    54.254.96.20:54039     74.125.68.104:443      SYN_SENT        4252
  TCP    127.0.0.1:5432         127.0.0.1:53294        ESTABLISHED     2300
  TCP    127.0.0.1:5432         127.0.0.1:53295        ESTABLISHED     2300
  TCP    127.0.0.1:5432         127.0.0.1:53296        ESTABLISHED     2300
  TCP    127.0.0.1:5432         127.0.0.1:53297        ESTABLISHED     2300
  TCP    127.0.0.1:5432         127.0.0.1:53298        ESTABLISHED     2300
  TCP    127.0.0.1:5432         127.0.0.1:53299        ESTABLISHED     2300
  TCP    127.0.0.1:5432         127.0.0.1:53300        ESTABLISHED     2300
  TCP    127.0.0.1:5432         127.0.0.1:53301        ESTABLISHED     2300
  TCP    127.0.0.1:5432         127.0.0.1:53302        ESTABLISHED     2300
  TCP    127.0.0.1:5432         127.0.0.1:53303        ESTABLISHED     2300
  TCP    127.0.0.1:5432         127.0.0.1:53304        ESTABLISHED     2300
  TCP    127.0.0.1:5432         127.0.0.1:53305        ESTABLISHED     2300
  TCP    127.0.0.1:5432         127.0.0.1:53306        ESTABLISHED     2300
  TCP    127.0.0.1:5432         127.0.0.1:53354        ESTABLISHED     2300
  TCP    127.0.0.1:5432         127.0.0.1:53355        ESTABLISHED     2300
  TCP    127.0.0.1:5432         127.0.0.1:53356        ESTABLISHED     2300
  TCP    127.0.0.1:5432         127.0.0.1:53357        ESTABLISHED     2300
  TCP    127.0.0.1:5432         127.0.0.1:53358        ESTABLISHED     2300
  TCP    127.0.0.1:5432         127.0.0.1:53359        ESTABLISHED     2300
  TCP    127.0.0.1:5432         127.0.0.1:53464        ESTABLISHED     2300
  TCP    127.0.0.1:5432         127.0.0.1:53465        ESTABLISHED     2300
  TCP    127.0.0.1:5432         127.0.0.1:53466        ESTABLISHED     2300
  TCP    127.0.0.1:5432         127.0.0.1:53467        ESTABLISHED     2300
  TCP    127.0.0.1:5432         127.0.0.1:53842        ESTABLISHED     2300
  TCP    127.0.0.1:5432         127.0.0.1:53843        ESTABLISHED     2300
  TCP    127.0.0.1:5432         127.0.0.1:53844        ESTABLISHED     2300
  TCP    127.0.0.1:5432         127.0.0.1:53845        ESTABLISHED     2300
  TCP    127.0.0.1:5432         127.0.0.1:53847        ESTABLISHED     2300
  TCP    127.0.0.1:5432         127.0.0.1:53848        ESTABLISHED     2300
  TCP    127.0.0.1:5432         127.0.0.1:53849        ESTABLISHED     2300
  TCP    127.0.0.1:5432         127.0.0.1:53967        ESTABLISHED     2300
  TCP    127.0.0.1:5432         127.0.0.1:53968        ESTABLISHED     2300
  TCP    127.0.0.1:5432         127.0.0.1:53969        ESTABLISHED     2300
  TCP    127.0.0.1:5432         127.0.0.1:53970        ESTABLISHED     2300
  TCP    127.0.0.1:5432         127.0.0.1:53971        ESTABLISHED     2300
  TCP    127.0.0.1:6942         0.0.0.0:0              LISTENING       3360
  TCP    127.0.0.1:18005        0.0.0.0:0              LISTENING       9856
  TCP    127.0.0.1:50885        127.0.0.1:50886        ESTABLISHED     4908
  TCP    127.0.0.1:50886        127.0.0.1:50885        ESTABLISHED     9856
  TCP    127.0.0.1:50889        127.0.0.1:50890        ESTABLISHED     9856
  TCP    127.0.0.1:50890        127.0.0.1:50889        ESTABLISHED     9856
  TCP    127.0.0.1:50891        127.0.0.1:50892        ESTABLISHED     9856
  TCP    127.0.0.1:50892        127.0.0.1:50891        ESTABLISHED     9856
  TCP    127.0.0.1:50927        127.0.0.1:50928        ESTABLISHED     9856
  TCP    127.0.0.1:50928        127.0.0.1:50927        ESTABLISHED     9856
  TCP    127.0.0.1:50929        127.0.0.1:50930        ESTABLISHED     9856
  TCP    127.0.0.1:50930        127.0.0.1:50929        ESTABLISHED     9856
  TCP    127.0.0.1:50931        127.0.0.1:50932        ESTABLISHED     9856
  TCP    127.0.0.1:50932        127.0.0.1:50931        ESTABLISHED     9856
  TCP    127.0.0.1:50933        127.0.0.1:50934        ESTABLISHED     9856
  TCP    127.0.0.1:50934        127.0.0.1:50933        ESTABLISHED     9856
  TCP    127.0.0.1:51780        127.0.0.1:51781        ESTABLISHED     3360
  TCP    127.0.0.1:51781        127.0.0.1:51780        ESTABLISHED     3360
  TCP    127.0.0.1:51791        127.0.0.1:63342        ESTABLISHED     4252
  TCP    127.0.0.1:53294        127.0.0.1:5432         ESTABLISHED     9856
  TCP    127.0.0.1:53295        127.0.0.1:5432         ESTABLISHED     9856
  TCP    127.0.0.1:53296        127.0.0.1:5432         ESTABLISHED     9856
  TCP    127.0.0.1:53297        127.0.0.1:5432         ESTABLISHED     9856
  TCP    127.0.0.1:53298        127.0.0.1:5432         ESTABLISHED     9856
  TCP    127.0.0.1:53299        127.0.0.1:5432         ESTABLISHED     9856
  TCP    127.0.0.1:53300        127.0.0.1:5432         ESTABLISHED     9856
  TCP    127.0.0.1:53301        127.0.0.1:5432         ESTABLISHED     9856
  TCP    127.0.0.1:53302        127.0.0.1:5432         ESTABLISHED     9856
  TCP    127.0.0.1:53303        127.0.0.1:5432         ESTABLISHED     9856
  TCP    127.0.0.1:53304        127.0.0.1:5432         ESTABLISHED     9856
  TCP    127.0.0.1:53305        127.0.0.1:5432         ESTABLISHED     9856
  TCP    127.0.0.1:53306        127.0.0.1:5432         ESTABLISHED     9856
  TCP    127.0.0.1:53354        127.0.0.1:5432         ESTABLISHED     9856
  TCP    127.0.0.1:53355        127.0.0.1:5432         ESTABLISHED     9856
  TCP    127.0.0.1:53356        127.0.0.1:5432         ESTABLISHED     9856
  TCP    127.0.0.1:53357        127.0.0.1:5432         ESTABLISHED     9856
  TCP    127.0.0.1:53358        127.0.0.1:5432         ESTABLISHED     9856
  TCP    127.0.0.1:53359        127.0.0.1:5432         ESTABLISHED     9856
  TCP    127.0.0.1:53464        127.0.0.1:5432         ESTABLISHED     9856
  TCP    127.0.0.1:53465        127.0.0.1:5432         ESTABLISHED     9856
  TCP    127.0.0.1:53466        127.0.0.1:5432         ESTABLISHED     9856
  TCP    127.0.0.1:53467        127.0.0.1:5432         ESTABLISHED     9856
  TCP    127.0.0.1:53842        127.0.0.1:5432         ESTABLISHED     9856
  TCP    127.0.0.1:53843        127.0.0.1:5432         ESTABLISHED     9856
  TCP    127.0.0.1:53844        127.0.0.1:5432         ESTABLISHED     9856
  TCP    127.0.0.1:53845        127.0.0.1:5432         ESTABLISHED     9856
  TCP    127.0.0.1:53847        127.0.0.1:5432         ESTABLISHED     9856
  TCP    127.0.0.1:53848        127.0.0.1:5432         ESTABLISHED     9856
  TCP    127.0.0.1:53849        127.0.0.1:5432         ESTABLISHED     9856
  TCP    127.0.0.1:53967        127.0.0.1:5432         ESTABLISHED     9856
  TCP    127.0.0.1:53968        127.0.0.1:5432         ESTABLISHED     9856
  TCP    127.0.0.1:53969        127.0.0.1:5432         ESTABLISHED     9856
  TCP    127.0.0.1:53970        127.0.0.1:5432         ESTABLISHED     9856
  TCP    127.0.0.1:53971        127.0.0.1:5432         ESTABLISHED     9856
  TCP    127.0.0.1:58146        0.0.0.0:0              LISTENING       5736
  TCP    127.0.0.1:63342        0.0.0.0:0              LISTENING       3360
  TCP    127.0.0.1:63342        127.0.0.1:51791        ESTABLISHED     3360
  TCP    [::]:80                [::]:0                 LISTENING       4
  TCP    [::]:135               [::]:0                 LISTENING       916
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:3306              [::]:0                 LISTENING       1204
  TCP    [::]:5432              [::]:0                 LISTENING       2300
  TCP    [::]:8000              [::]:0                 LISTENING       4
  TCP    [::]:18080             [::]:0                 LISTENING       9856
  TCP    [::]:18443             [::]:0                 LISTENING       9856
  TCP    [::]:49152             [::]:0                 LISTENING       604
  TCP    [::]:49153             [::]:0                 LISTENING       1004
  TCP    [::]:49154             [::]:0                 LISTENING       360
  TCP    [::]:55515             [::]:0                 LISTENING       696
  TCP    [::]:55541             [::]:0                 LISTENING       676
  UDP    0.0.0.0:123            *:*                                    552
  UDP    0.0.0.0:500            *:*                                    360
  UDP    0.0.0.0:3702           *:*                                    3312
  UDP    0.0.0.0:3702           *:*                                    3312
  UDP    0.0.0.0:3702           *:*                                    3312
  UDP    0.0.0.0:3702           *:*                                    3312
  UDP    0.0.0.0:4500           *:*                                    360
  UDP    0.0.0.0:5355           *:*                                    1292
  UDP    0.0.0.0:8976           *:*                                    3360
  UDP    0.0.0.0:49180          *:*                                    1292
  UDP    0.0.0.0:49620          *:*                                    1292
  UDP    0.0.0.0:49922          *:*                                    1292
  UDP    0.0.0.0:52510          *:*                                    1292
  UDP    0.0.0.0:54154          *:*                                    1292
  UDP    0.0.0.0:54342          *:*                                    4252
  UDP    0.0.0.0:57584          *:*                                    1292
  UDP    0.0.0.0:58890          *:*                                    1292
  UDP    0.0.0.0:60978          *:*                                    1292
  UDP    0.0.0.0:61686          *:*                                    1292
  UDP    0.0.0.0:62327          *:*                                    1292
  UDP    0.0.0.0:63005          *:*                                    4252
  UDP    0.0.0.0:63009          *:*                                    1292
  UDP    0.0.0.0:65065          *:*                                    1292
  UDP    54.254.96.20:68        *:*                                    1004
  UDP    54.254.96.20:137       *:*                                    4
  UDP    54.254.96.20:138       *:*                                    4
  UDP    54.254.96.20:61599     *:*                                    3360
  UDP    127.0.0.1:49476        *:*                                    2152
  UDP    127.0.0.1:49477        *:*                                    5220
  UDP    127.0.0.1:53643        *:*                                    1864
  UDP    127.0.0.1:53885        *:*                                    4972
  UDP    127.0.0.1:58607        *:*                                    4272
  UDP    127.0.0.1:58833        *:*                                    5220
  UDP    127.0.0.1:59042        *:*                                    1292
  UDP    127.0.0.1:59188        *:*                                    1020
  UDP    127.0.0.1:60060        *:*                                    2928
  UDP    127.0.0.1:60561        *:*                                    1088
  UDP    127.0.0.1:61773        *:*                                    5184
  UDP    127.0.0.1:62345        *:*                                    696
  UDP    127.0.0.1:63929        *:*                                    3840
  UDP    [::]:123               *:*                                    552
  UDP    [::]:500               *:*                                    360
  UDP    [::]:3702              *:*                                    3312
  UDP    [::]:3702              *:*                                    3312
  UDP    [::]:3702              *:*                                    3312
  UDP    [::]:3702              *:*                                    3312
  UDP    [::]:4500              *:*                                    360
  UDP    [::]:5355              *:*                                    1292
  UDP    [::]:51854             *:*                                    1292
  UDP    [::1]:49815            *:*                                    2300
